timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
2350;72.215;12.542;-1.338;-29.646;-15.668;-4.033;-162.742;-105.974;-165.681;-3.687;16.197;-41.08;-37.054;-11.763;-6.985
2360;81.934;13.937;3.137;-28.786;-16.281;-6.153;-159.411;-98.15;-162.869;-2.876;16.017;-40.353;-37.175;-11.481;-8.974
2370;92.292;15.331;7.368;-27.127;-16.84;-8.232;-155.495;-90.154;-159.81;-2.025;17.079;-40.306;-37.821;-11.288;-10.421
2380;102.299;16.116;8;-25.157;-16.999;-8.366;-151.248;-80.812;-156.633;-0.734;18.141;-40.259;-38.866;-9.96;-10.423
2390;112.506;16.783;12.073;-23.828;-16.992;-8.417;-146.708;-69.963;-153.843;0.557;19.203;-39.732;-40.359;-7.903;-9.444
2400;121.648;22.531;18.128;-24.539;-13.865;-8.594;-140.803;-59.154;-150.934;1.91;21.625;-39.254;-40.086;-5.916;-4.087
2410;130.79;27.803;24.979;-25.411;-10.952;-8.697;-134.637;-50.494;-148.046;2.994;22.967;-38.775;-39.097;-5.771;-1.514
2420;140.892;30.426;31.95;-26.19;-8.701;-8.799;-127.801;-40.622;-143.397;4.079;24.385;-38.297;-39.418;-5.218;2.492
2430;151.057;35.328;37.625;-27.47;-6.739;-8.71;-120.966;-30.71;-138.396;5.163;25.803;-38.018;-39.178;-4.796;3.414
2440;154.261;42.03;43.859;-27.334;-8.898;-8.622;-114.094;-19.414;-132.036;6.247;27.221;-37.829;-38.978;-4.437;6.359
2450;157.154;49.513;49.716;-27.197;-11.186;-8.921;-107.51;-8.098;-126.15;8.371;29.399;-37.677;-37.978;-2.879;8.967
2460;159.368;52.982;55.702;-26.578;-13.474;-9.186;-100.594;2.139;-120.574;10.302;29.908;-37.526;-36.668;-0.899;10.56
2470;157.319;59.52;60.139;-25.479;-12.448;-8.884;-93.966;12.45;-111.877;12.233;30.417;-37.284;-35.742;1.923;13.033
2480;155.297;65.498;65.777;-24.363;-11.422;-8.52;-87.606;23.619;-102.748;14.288;30.822;-37.043;-35.423;4.028;14.622
2490;154.594;73.23;69.829;-23.207;-9.149;-7.756;-80.526;34.588;-94.537;16.343;31.228;-36.521;-35.092;4.612;15.954
2500;154.361;81.154;72.643;-22.741;-6.876;-6.799;-71.177;45.652;-84.446;18.688;30.073;-36;-33.85;5.011;17.635
