timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
8660;-43.11;12.164;-64.91;7.274;-96.257;-45.09;-126.041;-58.206;-69.099;-79.898;-111.182;-69.422;140.603;32.641;-27.382
8670;-38.734;24.095;-60.101;13.614;-87.659;-39.258;-117.143;-44.324;-65.083;-76.961;-101.568;-67.455;160.419;46.41;-12.579
8680;-34.145;34.694;-55.059;18.917;-79.639;-33.483;-108.255;-30.983;-59.848;-73.956;-93.061;-64.658;178.174;60.076;3.062
8690;-30.284;46.488;-48.734;23.498;-71.386;-27.212;-99.473;-16.957;-54.221;-71.901;-84.672;-60.741;193.29;74.179;20.301
8700;-25.797;56.684;-41.836;27;-61.64;-19.956;-92.677;-1.592;-48.473;-70.476;-75.79;-56.343;207.295;88.142;39.128
8710;-20.23;64.836;-34.484;30.074;-50.29;-13.532;-84.366;15.254;-42.465;-68.419;-66.76;-52.036;221.2;102.084;58.081
8720;-15.436;73.259;-26.408;34.123;-39.098;-8.328;-74.113;31.397;-35.273;-65.079;-57.597;-46.81;234.361;116.948;75.57
8730;-11.247;81.277;-18.942;39.334;-25.829;-3.428;-64.142;48.541;-25.8;-61.731;-48.629;-41.503;247.411;132.05;96.465
8740;-6.026;90.257;-11.483;45.597;-10.946;1.852;-52.697;67.51;-15.433;-57.983;-38.502;-34.734;259.937;146.411;118.291
8750;-0.848;98.932;-3.259;52.655;5.629;7.589;-41.611;87.514;-4.706;-53.52;-27.048;-27.847;271.961;160.621;140.767
8760;4.324;107.308;6.364;59.692;22.073;14.119;-30.77;106.757;5.741;-50.603;-12.814;-19.418;282.694;175.153;162.363
8770;9.88;116.476;16.121;65.877;38.301;20.843;-20.225;124.142;17.462;-46.418;1.157;-10.897;291.132;189.986;182.872
8780;15.724;126.371;25.375;71.661;56.509;28.212;-5.731;142.51;29.101;-42.254;14.44;-1.677;297.559;204.101;202.676
8790;21.756;135.815;32.621;77.062;76.183;36.985;11.655;162.163;41.157;-35.066;27.612;7.494;304.72;217.47;221.902
8800;27.165;145.474;40.07;82.81;96.823;48.898;29.29;182.257;52.345;-25.986;41.854;17.16;310.869;229.721;240.812
