timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;;;20: frq7-.1;21: frq7-.2;22: frq7-.3;23: frq9+.2;24: frq9+.3;;25: frq10+.1;26: frq10+.3
3060;411.24;419.977;262.876;-173.836;;;297.931;156.869;213.654;-109.502;-146.433;;-159.137;-119.065
3070;413.132;415.277;271.452;-177.103;;;270.55;172.974;229.354;-110.422;-147.494;;-156.804;-119.222
3080;414.688;407.561;282.629;-180.92;;;241.866;188.059;246.277;-110.161;-148.85;;-154.439;-115.444
3090;417.083;401.063;293.702;-184.829;;;214.343;201.64;256.705;-109.422;-149.007;;-152.965;-111.301
3100;420.659;394.654;305.888;-188.454;;;189.008;214.232;264.848;-108.403;-149.845;;-151.277;-108.797
3110;426.582;389.901;316.274;-191.919;;;163.545;226.626;268.915;-106.419;-151.556;;-149.385;-109.679
3120;430.055;384.68;326.419;-194.172;;;137.172;239.725;272.941;-104.901;-152.223;;-148.092;-110.836
3130;433.975;379.884;333.072;-196.167;;;109.952;252.872;276.498;-103.782;-152.728;;-147.106;-113.753
3140;440.255;373.156;336.363;-198.025;;;82.806;262.637;283.967;-103.219;-152.604;;-146.472;-116.066
3150;444.708;368.785;339.826;-198.785;;;59.108;272.836;287.72;-102.839;-153.337;;-145.397;-118.434
3160;446.156;363.91;340.021;-199.04;;;38.279;281.754;293.524;-105.178;-154.589;;-144.178;-118.083
3170;447.266;359.848;339.094;-198.937;;;19.923;288.887;297.014;-107.363;-156.357;;-142.597;-114.567
3180;449.897;354.714;338.112;-198.244;;;1.876;291.374;298.775;-107.851;-157.142;;-140.891;-111.092
3190;449.21;349.583;335.931;-196.539;;;-17.057;293.716;304.041;-108.194;-158.527;;-138.836;-107.503
3200;445.197;341.679;334.24;-194.27;;;-35.417;295.407;309.266;-106.121;-157.894;;-136.568;-105.617
3210;438.585;334.054;330.425;-190.76;;;-48.337;296.786;314.764;-103.766;-157.069;;-134.331;-103.661
3220;424.935;325.919;325.546;-187.023;;;-61.033;298.259;322.508;-101.13;-155.196;;-131.106;-102.248
3230;410.207;317.306;320.737;-183.317;;;-72.924;297.419;330.33;-98.639;-151.93;;-127.324;-99.537
